order_id,account_id,service_id,invoice_date,invoice_revenue_usd,job_cost_usd,promised_ship_date,actual_ship_date,rework_cost_usd,source
J0029,A005,S03,2026-02-28,46000,32200,2026-02-20,2026-02-19,350,ERP closed-job ledger
J0030,A006,S02,2026-02-28,52000,35360,2026-02-20,2026-02-22,0,ERP closed-job ledger
J0031,A007,S03,2026-02-28,31000,22010,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0032,A008,S01,2026-02-28,82000,64780,2026-02-20,2026-02-19,0,ERP closed-job ledger
J0033,A009,S03,2026-02-28,68000,46920,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0034,A010,S03,2026-02-28,21000,15120,2026-02-20,2026-02-18,0,ERP closed-job ledger
J0035,A011,S01,2026-02-28,92000,71760,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0036,A012,S03,2026-02-28,68000,47600,2026-02-20,2026-02-20,350,ERP closed-job ledger
J0037,A013,S02,2026-02-28,48000,31680,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0038,A014,S01,2026-02-28,74000,56240,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0039,A015,S03,2026-02-28,47000,31020,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0040,A016,S01,2026-02-28,94000,74260,2026-02-20,2026-02-18,350,ERP closed-job ledger
J0041,A017,S02,2026-02-28,60000,41400,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0042,A018,S03,2026-02-28,69000,46920,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0043,A019,S01,2026-02-28,83000,63910,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0044,A020,S02,2026-02-28,41000,27470,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0045,A021,S03,2026-02-28,74000,48100,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0046,A022,S02,2026-02-28,56000,39200,2026-02-20,2026-02-18,0,ERP closed-job ledger
J0047,A023,S01,2026-02-28,102000,76500,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0048,A024,S03,2026-02-28,54000,38340,2026-02-20,2026-02-22,0,ERP closed-job ledger
J0049,A001,S03,2026-03-28,15000,10800,2026-03-20,2026-03-22,0,ERP closed-job ledger
J0050,A002,S01,2026-03-28,97000,73720,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0051,A003,S02,2026-03-28,28000,18480,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0052,A004,S03,2026-03-28,15000,10500,2026-03-20,2026-03-20,350,ERP closed-job ledger
J0053,A005,S03,2026-03-28,73000,51830,2026-03-20,2026-03-20,350,ERP closed-job ledger
J0054,A006,S02,2026-03-28,37000,24050,2026-03-20,2026-03-20,350,ERP closed-job ledger
J0055,A007,S03,2026-03-28,34000,22100,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0056,A008,S01,2026-03-28,92000,73600,2026-03-20,2026-03-20,350,ERP closed-job ledger
J0057,A009,S03,2026-03-28,29000,18850,2026-03-20,2026-03-18,0,ERP closed-job ledger
J0058,A010,S03,2026-03-28,12000,8280,2026-03-20,2026-03-18,0,ERP closed-job ledger
J0059,A011,S01,2026-03-28,88000,66000,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0060,A012,S03,2026-03-28,39000,27690,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0061,A013,S02,2026-03-28,45000,30150,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0062,A014,S01,2026-03-28,95000,76000,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0063,A015,S03,2026-03-28,73000,51100,2026-03-20,2026-03-18,0,ERP closed-job ledger
J0064,A016,S01,2026-03-28,99000,76230,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0065,A017,S02,2026-03-28,51000,33150,2026-03-20,2026-03-19,350,ERP closed-job ledger
J0066,A018,S03,2026-03-28,47000,32900,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0067,A019,S01,2026-03-28,100000,79000,2026-03-20,2026-03-19,0,ERP closed-job ledger
J0068,A020,S02,2026-03-28,69000,47610,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0069,A021,S03,2026-03-28,55000,37950,2026-03-20,2026-03-19,350,ERP closed-job ledger
J0070,A022,S02,2026-03-28,42000,28560,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0071,A023,S01,2026-03-28,69000,51060,2026-03-20,2026-03-20,0,ERP closed-job ledger
J0072,A024,S03,2026-03-28,26000,18720,2026-03-20,2026-03-18,0,ERP closed-job ledger
J0073,A001,S03,2026-04-28,17000,11730,2026-04-20,2026-04-20,350,ERP closed-job ledger
J0074,A002,S01,2026-04-28,73000,57670,2026-04-20,2026-04-22,350,ERP closed-job ledger
J0075,A003,S02,2026-04-28,49000,32830,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0076,A004,S03,2026-04-28,19000,13110,2026-04-20,2026-04-18,350,ERP closed-job ledger
J0077,A005,S03,2026-04-28,38000,27360,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0078,A006,S02,2026-04-28,27000,19170,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0079,A007,S03,2026-04-28,58000,39440,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0080,A008,S01,2026-04-28,71000,56800,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0081,A009,S03,2026-04-28,35000,23450,2026-04-20,2026-04-22,0,ERP closed-job ledger
J0082,A010,S03,2026-04-28,11000,7260,2026-04-20,2026-04-20,350,ERP closed-job ledger
J0083,A011,S01,2026-04-28,78000,58500,2026-04-20,2026-04-18,350,ERP closed-job ledger
J0084,A012,S03,2026-04-28,31000,22320,2026-04-20,2026-04-22,0,ERP closed-job ledger
J0085,A013,S02,2026-04-28,54000,38340,2026-04-20,2026-04-18,0,ERP closed-job ledger
J0086,A014,S01,2026-04-28,66000,49500,2026-04-20,2026-04-18,0,ERP closed-job ledger
J0087,A015,S03,2026-04-28,24000,15840,2026-04-20,2026-04-18,0,ERP closed-job ledger
J0088,A016,S01,2026-04-28,82000,63960,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0089,A017,S02,2026-04-28,29000,19720,2026-04-20,2026-04-22,0,ERP closed-job ledger
J0090,A018,S03,2026-04-28,58000,38280,2026-04-20,2026-04-18,0,ERP closed-job ledger
J0091,A019,S01,2026-04-28,85000,67150,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0092,A020,S02,2026-04-28,69000,46230,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0093,A021,S03,2026-04-28,65000,44200,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0094,A022,S02,2026-04-28,73000,52560,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0095,A023,S01,2026-04-28,98000,78400,2026-04-20,2026-04-20,0,ERP closed-job ledger
J0096,A024,S03,2026-04-28,43000,29240,2026-04-20,2026-04-19,0,ERP closed-job ledger
J0097,A001,S03,2026-05-28,17000,11390,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0098,A002,S01,2026-05-28,91000,70980,2026-05-20,2026-05-22,0,ERP closed-job ledger
J0099,A003,S02,2026-05-28,40000,28800,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0100,A004,S03,2026-05-28,11000,7700,2026-05-20,2026-05-18,0,ERP closed-job ledger
J0101,A005,S03,2026-05-28,43000,30100,2026-05-20,2026-05-20,350,ERP closed-job ledger
J0102,A006,S02,2026-05-28,35000,22750,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0103,A007,S03,2026-05-28,34000,22440,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0104,A008,S01,2026-05-28,109000,80660,2026-05-20,2026-05-20,350,ERP closed-job ledger
J0105,A009,S03,2026-05-28,28000,18200,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0106,A010,S03,2026-05-28,12000,7800,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0107,A011,S01,2026-05-28,71000,51830,2026-05-20,2026-05-22,0,ERP closed-job ledger
J0108,A012,S03,2026-05-28,57000,38760,2026-05-20,2026-05-18,0,ERP closed-job ledger
J0109,A013,S02,2026-05-28,26000,16900,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0110,A014,S01,2026-05-28,107000,79180,2026-05-20,2026-05-19,0,ERP closed-job ledger
J0111,A015,S03,2026-05-28,63000,44730,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0112,A016,S01,2026-05-28,65000,48100,2026-05-20,2026-05-19,0,ERP closed-job ledger
J0113,A017,S02,2026-05-28,24000,15840,2026-05-20,2026-05-20,350,ERP closed-job ledger
J0114,A018,S03,2026-05-28,32000,20800,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0115,A019,S01,2026-05-28,117000,91260,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0116,A020,S02,2026-05-28,53000,34980,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0117,A021,S03,2026-05-28,65000,46150,2026-05-20,2026-05-19,0,ERP closed-job ledger
J0118,A022,S02,2026-05-28,64000,45440,2026-05-20,2026-05-20,0,ERP closed-job ledger
J0119,A023,S01,2026-05-28,114000,90060,2026-05-20,2026-05-18,350,ERP closed-job ledger
J0120,A024,S03,2026-05-28,28000,18480,2026-05-20,2026-05-20,350,ERP closed-job ledger
J0121,A001,S03,2026-06-28,21000,13650,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0122,A002,S01,2026-06-28,117000,86580,2026-06-20,2026-06-19,0,ERP closed-job ledger
J0123,A003,S02,2026-06-28,41000,27470,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0124,A004,S03,2026-06-28,21000,15120,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0125,A005,S03,2026-06-28,26000,18720,2026-06-20,2026-06-19,350,ERP closed-job ledger
J0126,A006,S02,2026-06-28,33000,22110,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0127,A007,S03,2026-06-28,54000,38340,2026-06-20,2026-06-19,350,ERP closed-job ledger
J0128,A008,S01,2026-06-28,71000,53960,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0129,A009,S03,2026-06-28,29000,20010,2026-06-20,2026-06-22,350,ERP closed-job ledger
J0130,A010,S03,2026-06-28,13000,8580,2026-06-20,2026-06-20,350,ERP closed-job ledger
J0131,A011,S01,2026-06-28,70000,52500,2026-06-20,2026-06-20,350,ERP closed-job ledger
J0132,A012,S03,2026-06-28,44000,29920,2026-06-20,2026-06-18,350,ERP closed-job ledger
J0133,A013,S02,2026-06-28,71000,48280,2026-06-20,2026-06-20,350,ERP closed-job ledger
J0134,A014,S01,2026-06-28,72000,52560,2026-06-20,2026-06-19,350,ERP closed-job ledger
J0135,A015,S03,2026-06-28,49000,34300,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0136,A016,S01,2026-06-28,114000,91200,2026-06-20,2026-06-19,0,ERP closed-job ledger
J0137,A017,S02,2026-06-28,28000,19880,2026-06-20,2026-06-18,350,ERP closed-job ledger
J0138,A018,S03,2026-06-28,35000,22750,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0139,A019,S01,2026-06-28,106000,81620,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0140,A020,S02,2026-06-28,66000,44220,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0141,A021,S03,2026-06-28,36000,24840,2026-06-20,2026-06-18,0,ERP closed-job ledger
J0142,A022,S02,2026-06-28,34000,22100,2026-06-20,2026-06-22,0,ERP closed-job ledger
J0143,A023,S01,2026-06-28,91000,67340,2026-06-20,2026-06-20,0,ERP closed-job ledger
J0144,A024,S03,2026-06-28,53000,36040,2026-06-20,2026-06-20,350,ERP closed-job ledger
J0145,A001,S03,2026-07-28,15000,10650,2026-07-20,2026-07-25,2300,ERP closed-job ledger
J0146,A002,S01,2026-07-28,102000,75480,2026-07-20,2026-07-22,0,ERP closed-job ledger
J0147,A003,S02,2026-07-28,37000,26640,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0148,A004,S03,2026-07-28,17000,11730,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0149,A005,S03,2026-07-28,47000,32430,2026-07-20,2026-07-18,0,ERP closed-job ledger
J0150,A006,S02,2026-07-28,59000,42480,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0151,A007,S03,2026-07-28,73000,49640,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0152,A008,S01,2026-07-28,98000,76440,2026-07-20,2026-07-18,0,ERP closed-job ledger
J0153,A009,S03,2026-07-28,61000,40870,2026-07-20,2026-07-22,350,ERP closed-job ledger
J0154,A010,S03,2026-07-28,21000,14910,2026-07-20,2026-07-25,2300,ERP closed-job ledger
J0155,A011,S01,2026-07-28,95000,70300,2026-07-20,2026-07-20,350,ERP closed-job ledger
J0156,A012,S03,2026-07-28,43000,29670,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0157,A013,S02,2026-07-28,69000,44850,2026-07-20,2026-07-22,0,ERP closed-job ledger
J0158,A014,S01,2026-07-28,78000,60840,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0159,A015,S03,2026-07-28,30000,20100,2026-07-20,2026-07-19,350,ERP closed-job ledger
J0160,A016,S01,2026-07-28,84000,61320,2026-07-20,2026-07-20,350,ERP closed-job ledger
J0161,A017,S02,2026-07-28,29000,18850,2026-07-20,2026-07-20,350,ERP closed-job ledger
J0162,A018,S03,2026-07-28,54000,35100,2026-07-20,2026-07-25,2300,ERP closed-job ledger
J0163,A019,S01,2026-07-28,73000,55480,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0164,A020,S02,2026-07-28,68000,44880,2026-07-20,2026-07-20,350,ERP closed-job ledger
J0165,A021,S03,2026-07-28,56000,36400,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0166,A022,S02,2026-07-28,42000,27720,2026-07-20,2026-07-18,350,ERP closed-job ledger
J0167,A023,S01,2026-07-28,110000,88000,2026-07-20,2026-07-20,0,ERP closed-job ledger
J0168,A024,S03,2026-07-28,41000,29110,2026-07-20,2026-07-18,0,ERP closed-job ledger
J0169,A001,S03,2026-08-28,18000,12060,2026-08-20,2026-08-25,2300,ERP closed-job ledger
J0170,A002,S01,2026-08-28,119000,88060,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0171,A003,S02,2026-08-28,55000,36300,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0172,A004,S03,2026-08-28,21000,15120,2026-08-20,2026-08-22,0,ERP closed-job ledger
J0173,A005,S03,2026-08-28,66000,46860,2026-08-20,2026-08-18,0,ERP closed-job ledger
J0174,A006,S02,2026-08-28,27000,18900,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0175,A007,S03,2026-08-28,53000,37100,2026-08-20,2026-08-19,0,ERP closed-job ledger
J0176,A008,S01,2026-08-28,98000,74480,2026-08-20,2026-08-18,0,ERP closed-job ledger
J0177,A009,S03,2026-08-28,71000,48990,2026-08-20,2026-08-19,0,ERP closed-job ledger
J0178,A010,S03,2026-08-28,21000,14910,2026-08-20,2026-08-25,2300,ERP closed-job ledger
J0179,A011,S01,2026-08-28,109000,87200,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0180,A012,S03,2026-08-28,25000,16250,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0181,A013,S02,2026-08-28,45000,31950,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0182,A014,S01,2026-08-28,106000,84800,2026-08-20,2026-08-20,350,ERP closed-job ledger
J0183,A015,S03,2026-08-28,31000,22010,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0184,A016,S01,2026-08-28,112000,86240,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0185,A017,S02,2026-08-28,71000,49700,2026-08-20,2026-08-19,350,ERP closed-job ledger
J0186,A018,S03,2026-08-28,27000,17550,2026-08-20,2026-08-25,2300,ERP closed-job ledger
J0187,A019,S01,2026-08-28,70000,51800,2026-08-20,2026-08-18,0,ERP closed-job ledger
J0188,A020,S02,2026-08-28,45000,32400,2026-08-20,2026-08-19,0,ERP closed-job ledger
J0189,A021,S03,2026-08-28,51000,33660,2026-08-20,2026-08-19,350,ERP closed-job ledger
J0190,A022,S02,2026-08-28,25000,18000,2026-08-20,2026-08-20,0,ERP closed-job ledger
J0191,A023,S01,2026-08-28,79000,62410,2026-08-20,2026-08-19,0,ERP closed-job ledger
J0192,A024,S03,2026-08-28,42000,28980,2026-08-20,2026-08-20,0,ERP closed-job ledger
