lot_id,week_start,account_id,service_id,employee_id,shift,cohort,fixture,drawing_revision,traveler_revision,first_inspected_units,first_rejected_units,dimensional_units,missing_weld_units,porosity_units,incomplete_record_units,rework_hours,inspection_method,source
Q055,2026-08-10,A017,S02,E044,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q056,2026-08-10,A018,S03,E044,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q057,2026-08-17,A020,S02,E014,Day,Established,F1,D,D,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q058,2026-08-17,A021,S03,E014,Day,Established,F2,D,D,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q059,2026-08-17,A022,S02,E043,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q060,2026-08-17,A024,S03,E043,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q061,2026-08-17,A003,S02,E030,Evening,Established,F1,D,D,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q062,2026-08-17,A001,S03,E030,Evening,Established,F2,D,C,50,5,4,0,1,0,6.3,100% first inspection,QMS weekly lot sample
Q063,2026-08-17,A006,S02,E045,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q064,2026-08-17,A005,S03,E045,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q065,2026-08-24,A013,S02,E016,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q066,2026-08-24,A007,S03,E016,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q067,2026-08-24,A017,S02,E031,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q068,2026-08-24,A009,S03,E031,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q069,2026-08-24,A020,S02,E003,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q070,2026-08-24,A001,S03,E003,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
Q071,2026-08-24,A022,S02,E032,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q072,2026-08-24,A012,S03,E032,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q073,2026-08-31,A003,S02,E017,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q074,2026-08-31,A015,S03,E017,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q075,2026-08-31,A006,S02,E035,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q076,2026-08-31,A018,S03,E035,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q077,2026-08-31,A013,S02,E006,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q078,2026-08-31,A001,S03,E006,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
Q079,2026-08-31,A017,S02,E033,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q080,2026-08-31,A024,S03,E033,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
